City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,mpulungu,-8.7623,31.1141,22.62,84,79,1.11,ZM,1740003921
202,ust'-barguzin,53.45,108.9833,-27.99,99,76,1.64,RU,1740003922
203,rabo de peixe,37.8,-25.5833,17.77,99,75,10.8,PT,1740003923
204,alice springs,-23.7,133.8833,20.75,19,5,0.0,AU,1740003924
205,andovoranto,-18.95,49.1,25.21,91,97,1.17,MG,1740003925
206,kruisfontein,-34.0033,24.7314,18.28,75,10,7.53,ZA,1740003926
207,mili,6.0815,171.735,27.12,72,66,8.66,MH,1740003928
208,tangalle,6.024,80.7911,23.05,85,0,4.54,LK,1740003929
209,laguna,38.421,-121.4238,14.47,92,100,4.12,US,1740003930
210,dudinka,69.4058,86.1778,-23.43,94,10,5.8,RU,1740003931
211,chibougamau,49.9168,-74.3659,-11.21,92,100,3.6,CA,1740003932
212,breves,-1.6822,-50.4803,24.28,94,95,2.84,BR,1740003933
213,pandan,14.0453,124.1694,25.26,86,100,8.6,PH,1740003934
214,karakulino,56.012,53.7067,-17.81,99,99,1.49,RU,1740003935
215,mul,20.0667,79.6667,23.24,39,17,0.85,IN,1740003936
216,kralendijk,12.15,-68.2667,26.99,78,40,6.17,BQ,1740003938
217,shijiang,27.0819,110.7933,7.68,95,100,0.71,CN,1740003939
218,vorgashor,67.5833,63.95,-10.68,92,100,9.49,RU,1740003940
219,kannad,20.2667,75.1333,20.38,32,77,1.55,IN,1740003941
220,ghormach,35.7306,63.7826,3.85,83,3,0.77,AF,1740003942
221,margate,51.3813,1.3862,7.61,84,100,0.45,GB,1740003943
222,sinop,41.7711,34.8709,-7.43,97,99,1.41,TR,1740003944
223,pathein,16.7833,94.7333,20.67,81,0,3.29,MM,1740003946
224,kyosai,34.8503,128.5886,-2.49,51,88,4.33,KR,1740003948
225,gadzhiyevo,69.2551,33.3362,-8.12,95,83,3.72,RU,1740003950
226,codrington,-38.2667,141.9667,15.08,59,96,5.45,AU,1740003951
227,dhuusamarreeb,5.535,46.3861,22.41,76,6,6.59,SO,1740003952
228,ust-nera,64.5667,143.2,-31.04,99,96,0.6,RU,1740003953
229,antonio enes,-16.2325,39.9086,26.63,84,100,0.59,MZ,1740003954
230,suntar,62.1444,117.6319,-29.38,100,68,1.63,RU,1740003955
231,celestun,20.8667,-90.4,26.64,75,12,5.22,MX,1740003956
232,sungai penuh,-2.0833,101.3833,18.13,95,98,1.88,ID,1740003958
233,xilin hot,43.9667,116.0333,-17.95,84,100,0.79,CN,1740003959
234,slave lake,55.2834,-114.769,-18.01,60,0,9.77,CA,1740003960
235,zaozhuang,34.8647,117.5542,1.06,64,100,3.3,CN,1740003961
236,adh dhayd,25.2881,55.8816,16.41,70,27,0.91,AE,1740003962
237,constantia,44.1833,28.65,-4.61,67,10,5.13,RO,1740003963
238,neka,36.6508,53.299,4.73,87,85,1.03,IR,1740003964
239,tirumullaivasal,11.2333,79.8333,22.9,83,0,2.39,IN,1740003965
240,general jose de san martin,-26.5374,-59.3416,25.72,76,100,3.88,AR,1740003966
241,zapata,26.9073,-99.2714,7.06,42,100,4.63,US,1740003967
242,kattivakkam,13.2167,80.3167,25.08,80,0,1.61,IN,1740003969
243,charters towers,-20.1,146.2667,23.76,79,12,3.8,AU,1740003970
244,petukhovo,55.0692,67.9019,-22.41,100,100,2.17,RU,1740003971
245,chimoio,-19.1164,33.4833,20.23,98,96,1.01,MZ,1740003972
246,grants pass,42.439,-123.3284,10.86,88,100,2.06,US,1740003974
247,puerto rosario,-24.45,-57.0833,24.08,87,100,0.06,PY,1740003975
248,tegueste,28.5167,-16.3167,16.16,89,40,7.6,ES,1740003977
249,cabo san lucas,22.8909,-109.9124,27.17,34,0,5.14,MX,1740003835
250,uaua,-9.8414,-39.4817,31.87,31,98,5.24,BR,1740003980
251,castillos,-34.1667,-53.8333,21.05,71,0,4.32,UY,1740003981
252,arica,-18.475,-70.3042,23.13,60,0,4.63,CL,1740003982
253,fish town,5.1964,-7.8756,23.72,97,100,1.13,LR,1740003983
254,nanao,37.05,136.9667,-0.3,74,100,2.49,JP,1740003984
255,virac,13.6333,124.2167,20.99,90,100,6.74,PH,1740003985
256,port lincoln,-34.7333,135.8667,18.18,65,13,7.88,AU,1740003988
257,magadan,59.5667,150.8,-13.32,75,100,4.41,RU,1740003989
258,tsiombe,-25.3,45.4833,26.11,86,83,3.08,MG,1740003990
259,antofagasta,-23.65,-70.4,19.6,85,74,3.46,CL,1740003991
260,geiro,-6.15,36.8667,16.66,96,22,0.77,TZ,1740003992
261,saldanha,-33.0117,17.9442,19.38,82,2,3.78,ZA,1740003993
262,san pedro pochutla,15.7333,-96.4667,29.84,52,98,2.67,MX,1740003994
263,mata-utu,-13.2816,-176.1745,25.9,94,100,14.47,WF,1740003996
264,farasan,16.7022,42.1183,25.84,74,7,0.81,SA,1740003997
265,hirara,24.8,125.2833,17.92,72,75,6.17,JP,1740003998
266,puerto madryn,-42.7692,-65.0385,29.07,32,100,6.11,AR,1740003999
267,goba,7.0167,39.9833,9.63,35,97,2.15,ET,1740004000
268,manadhoo,5.7667,73.3833,27.1,63,0,2.37,MV,1740004001
269,kidal,18.4411,1.4078,26.0,8,0,3.39,ML,1740004002
270,itoman,26.1247,127.6694,15.01,61,75,5.14,JP,1740004003
