City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,lospalos,-8.5186,127.0025,26.47,75,99,2.03,TL,1740007831
288,salekhard,66.53,66.6019,-12.19,92,100,8.78,RU,1740007832
289,igualada,41.581,1.6172,12.44,90,45,0.73,ES,1740007833
290,coquimbo,-29.9533,-71.3436,19.85,72,0,5.14,CL,1740007834
291,sampit,-2.5333,112.95,24.24,94,100,0.94,ID,1740007835
292,bijie,27.3125,105.2942,3.6,98,100,1.84,CN,1740007836
293,giporlos,11.12,125.4494,24.27,95,100,5.76,PH,1740007838
294,colchani,-20.3,-66.9333,11.32,65,99,3.48,BO,1740007839
295,kolar,13.1333,78.1333,17.32,83,0,1.7,IN,1740007840
296,verkhniy baskunchak,48.2256,46.7217,-9.8,81,4,3.75,RU,1740007841
297,klyuchi,52.2667,79.1667,-14.71,85,99,3.84,RU,1740007842
298,nadym,65.5333,72.5167,-17.77,90,21,9.22,RU,1740007843
299,iquique,-20.2208,-70.1431,21.58,82,99,1.5,CL,1740007844
300,namibe,-15.1961,12.1522,23.43,81,90,3.36,AO,1740007845
301,tabuk,17.4189,121.4443,20.38,92,99,2.95,PH,1740007846
302,arcozelo,41.0533,-8.6433,13.09,95,100,3.57,PT,1740007849
303,mana,5.6592,-53.7767,25.53,82,96,5.97,GF,1740007850
304,westport,41.1415,-73.3579,-1.51,52,100,1.34,US,1740007851
305,dzuunmod,48.2199,97.3744,-24.76,74,2,2.34,MN,1740007852
306,nadi,-17.8,177.4167,30.0,66,75,0.0,FJ,1740007853
307,nesterovskaya,43.2386,45.0503,-5.82,95,100,2.08,RU,1740007854
308,karratha,-20.7377,116.8463,31.17,46,46,4.58,AU,1740007855
309,geraldton,-28.7667,114.6,24.23,88,100,4.12,AU,1740007856
310,kerikeri,-35.2268,173.9474,24.96,55,18,3.26,NZ,1740007857
311,tarfaya,27.9358,-12.9218,16.97,75,0,9.5,MA,1740007859
312,raufoss,60.7264,10.6172,-18.61,99,66,1.29,NO,1740007861
313,weno,7.4515,151.8468,28.25,71,83,6.78,FM,1740007862
314,dana point,33.467,-117.6981,21.57,73,66,1.34,US,1740007863
315,leiyang,26.4024,112.8591,8.73,96,100,1.09,CN,1740007865
316,zaraza,9.3503,-65.3245,25.48,55,55,4.38,VE,1740007867
317,barcelos,41.5388,-8.6151,11.49,96,100,1.99,PT,1740007867
318,remire-montjoly,4.9167,-52.2667,25.02,94,75,6.17,GF,1740007869
319,the pas,53.8251,-101.2541,-16.99,39,0,2.57,CA,1740007870
320,yesilhisar,38.3497,35.0867,-3.26,90,100,3.55,TR,1740007871
321,tanumah,27.1,44.1333,13.32,67,18,3.06,SA,1740007872
322,enewetak,11.3474,162.3373,27.26,76,99,8.14,MH,1740007875
323,zhangjiajie,29.1294,110.4783,6.34,94,100,1.39,CN,1740007876
324,chos malal,-37.3781,-70.2709,22.99,22,0,7.09,AR,1740007877
325,pierre,44.3683,-100.351,-15.4,39,0,1.54,US,1740007879
326,al kharj,24.155,47.3346,14.32,36,75,3.09,SA,1740007880
327,gornopravdinsk,60.05,69.9,-21.65,100,75,2.31,RU,1740007881
328,mount darwin,-16.7725,31.5838,20.39,98,100,1.64,ZW,1740007882
329,shimoda,34.6667,138.95,5.85,37,3,1.08,JP,1740007883
330,wamba,8.9333,8.6,26.33,25,87,1.78,NG,1740007885
331,souillac,-20.5167,57.5167,27.21,74,75,2.57,MU,1740007886
332,kolonia,50.9333,6.95,2.76,54,0,4.12,DE,1740007790
333,lerwick,60.1545,-1.1494,5.81,85,100,16.1,GB,1740007888
334,kulhudhuffushi,6.6221,73.07,26.93,69,2,2.18,MV,1740007889
335,boa vista,2.8197,-60.6733,30.99,51,20,4.12,BR,1740007890
336,shubarkuduk,49.1447,56.4872,-11.04,94,100,3.74,KZ,1740007891
337,taksimo,56.3444,114.8794,-28.33,90,47,1.17,RU,1740007892
338,nurota,40.5614,65.6886,2.42,79,0,1.44,UZ,1740007893
339,santa luzia,-19.7697,-43.8514,27.5,47,0,4.12,BR,1740007894
340,makoua,0.0069,15.6333,25.12,64,91,0.59,CG,1740007896
341,puerto armuelles,8.2833,-82.8667,28.38,71,78,3.58,PA,1740007897
342,kodiak,57.79,-152.4072,2.73,81,100,2.57,US,1740007898
343,mili,6.0815,171.735,27.19,72,71,8.61,MH,1740007899
